V1;V2
pdl_29477.csv;23-ago-18
pdl_29478.csv;23-ago-18
pdl_29479.csv;23-ago-18
pdl_29480.csv;23-ago-18
pdl_29481.csv;23-ago-18
pdl_29484.csv;27-ago-18
pdl_29494.csv;28-ago-18
pdl_29495.csv;28-ago-18
pdl_29498.csv;04-sept-18
pdl_29499.csv;04-sept-18
pdl_29500.csv;04-sept-18
pdl_29501.csv;04-sept-18
pdl_29502.csv;04-sept-18
pdl_29503.csv;04-sept-18
pdl_29506.csv;05-sept-18
pdl_29507.csv;05-sept-18
pdl_29508.csv;05-sept-18
pdl_29509.csv;05-sept-18
pdl_29510.csv;05-sept-18
pdl_29511.csv;05-sept-18
pdl_29512.csv;05-sept-18
pdl_29513.csv;05-sept-18
pdl_29516.csv;05-sept-18
pdl_29517.csv;05-sept-18
pdl_29518.csv;05-sept-18
pdl_29521.csv;06-sept-18
pdl_29522.csv;06-sept-18
pdl_29523.csv;06-sept-18
pdl_29524.csv;06-sept-18
pdl_29525.csv;06-sept-18
pdl_29526.csv;06-sept-18
pdl_29527.csv;06-sept-18
pdl_29528.csv;06-sept-18
pdl_29546.csv;11-sept-18
pdl_29547.csv;11-sept-18
pdl_29548.csv;11-sept-18
pdl_29549.csv;11-sept-18
pdl_29550.csv;11-sept-18
pdl_29551.csv;11-sept-18
pdl_29552.csv;11-sept-18
pdl_29553.csv;11-sept-18
pdl_29554.csv;11-sept-18
pdl_29555.csv;11-sept-18
pdl_29556.csv;11-sept-18
pdl_29557.csv;11-sept-18
pdl_29558.csv;11-sept-18
pdl_29559.csv;11-sept-18
pdl_29560.csv;11-sept-18
pdl_29561.csv;11-sept-18
pdl_29562.csv;11-sept-18
pdl_29563.csv;11-sept-18
pdl_29564.csv;11-sept-18
pdl_29568.csv;11-sept-18
pdl_29569.csv;11-sept-18
pdl_29570.csv;11-sept-18
pdl_29571.csv;11-sept-18
pdl_29574.csv;12-sept-18
pdl_29575.csv;12-sept-18
pdl_29576.csv;12-sept-18
pdl_29577.csv;12-sept-18
pdl_29578.csv;12-sept-18
pdl_29581.csv;13-sept-18
pdl_29583.csv;13-sept-18
pdl_29584.csv;13-sept-18
pdl_29585.csv;13-sept-18
pdl_29586.csv;13-sept-18
pdl_29587.csv;13-sept-18
pdl_29588.csv;13-sept-18
pdl_29589.csv;13-sept-18
pdl_29591.csv;13-sept-18
pdl_29592.csv;13-sept-18
pdl_29596.csv;13-sept-18
pdl_29597.csv;13-sept-18
pdl_29601.csv;25-sept-18
pdl_29602.csv;25-sept-18
pdl_29603.csv;25-sept-18
pdl_29604.csv;25-sept-18
pdl_29608.csv;26-sept-18
pdl_29609.csv;26-sept-18
pdl_29610.csv;26-sept-18
pdl_29611.csv;26-sept-18
pdl_29612.csv;26-sept-18
pdl_29613.csv;26-sept-18
pdl_29614.csv;26-sept-18
pdl_29615.csv;26-sept-18
pdl_29616.csv;26-sept-18
pdl_29617.csv;26-sept-18
